site_id,year,quarter,kelp
1,1987,1,0
2,1987,1,23572
3,1987,1,771
4,1987,1,1856
5,1987,1,0
6,1987,1,10423
7,1987,1,735
8,1987,1,1308
9,1987,1,0
10,1987,1,3266
11,1987,1,1475
12,1987,1,2956
13,1987,1,12628
14,1987,1,32446
15,1987,1,699
16,1987,1,3240
17,1987,1,95952
18,1987,1,10328
19,1987,1,17976
20,1987,1,1620
21,1987,1,866
22,1987,1,1551
23,1987,1,5377
24,1987,1,41727
25,1987,1,14334
26,1987,1,61582
27,1987,1,2089
28,1987,1,384
29,1987,1,178
30,1987,1,0
31,1987,1,0
32,1987,1,0
33,1987,1,0
34,1987,1,14166
35,1987,1,17036
36,1987,1,147526
37,1987,1,35496
38,1987,1,149889
39,1987,1,112200
40,1987,1,92676
41,1987,1,67945
42,1987,1,50385
43,1987,1,278156
44,1987,1,8161
45,1987,1,32007
46,1987,1,55844
47,1987,1,4431
48,1987,1,10571
49,1987,1,84577
50,1987,1,30277
51,1987,1,4822
52,1987,1,15884
53,1987,1,416
54,1987,1,34120
55,1987,1,28278
56,1987,1,1192
57,1987,1,14200
58,1987,1,41193
59,1987,1,42249
60,1987,1,14949
61,1987,1,5546
62,1987,1,21352
63,1987,1,5947
64,1987,1,64635
65,1987,1,0
66,1987,1,7204
67,1987,1,1202
68,1987,1,0
69,1987,1,1594
70,1987,1,51489
71,1987,1,18049
72,1987,1,1999
73,1987,1,53069
74,1987,1,0
75,1987,1,0
76,1987,1,18283
77,1987,1,84854
78,1987,1,31432
79,1987,1,43876
80,1987,1,64531
81,1987,1,3876
82,1987,1,1904
83,1987,1,938
84,1987,1,27016
85,1987,1,76979
86,1987,1,21156
87,1987,1,105250
88,1987,1,75388
89,1987,1,42227
90,1987,1,8296
91,1987,1,205513
92,1987,1,127110
93,1987,1,153222
94,1987,1,62484
95,1987,1,17398
96,1987,1,22914
97,1987,1,880
98,1987,1,574
99,1987,1,28505
100,1987,1,7934
101,1987,1,51087
102,1987,1,17489
103,1987,1,5555
104,1987,1,20460
105,1987,1,7851
106,1987,1,12815
107,1987,1,20122
108,1987,1,25335
109,1987,1,375
110,1987,1,900
111,1987,1,13015
112,1987,1,2859
113,1987,1,3403
114,1987,1,0
115,1987,1,0
116,1987,1,28064
117,1987,1,5854
118,1987,1,0
119,1987,1,3533
120,1987,1,917
121,1987,1,0
122,1987,1,0
123,1987,1,0
124,1987,1,0
125,1987,1,0
126,1987,1,0
127,1987,1,1598
128,1987,1,0
129,1987,1,0
130,1987,1,22366
131,1987,1,18348
132,1987,1,737
133,1987,1,0
134,1987,1,0
135,1987,1,0
136,1987,1,0
137,1987,1,0
138,1987,1,0
139,1987,1,0
140,1987,1,0
141,1987,1,0
142,1987,1,0
143,1987,1,0
144,1987,1,0
145,1987,1,0
